,accommodates,bathrooms,bedrooms,beds,guests_included,availability_30,number_of_reviews,number_of_reviews_ltm,review_scores_cleanliness,review_scores_location,reviews_per_month,price,has_availability,host_response_rate,instant_bookable,cancellation_policy,security_deposit,host_is_superhost,host_name,host_location,host_neighbourhood,property_type,neighbourhood,host_verifications,host_response_time,room_type,extra_people,zipcode
8162,4,1.0,2.0,2.0,2,7,3,2,10.0,9.0,0.21,69.0,0,1,1,3,0,0,905,166,12,2,2,170,3,1,20,28
8163,4,1.0,1.0,2.0,1,3,24,13,10.0,10.0,1.5,55.0,0,1,1,0,9,0,816,126,2,1,0,91,3,0,0,47
8164,4,1.0,1.0,1.0,2,3,90,70,10.0,10.0,5.58,80.0,0,1,1,4,0,1,1336,126,36,1,6,126,3,0,15,22
8165,4,2.0,2.0,4.0,4,27,1,0,10.0,10.0,0.07,130.0,0,1,0,3,9,0,1806,126,39,1,13,170,2,0,0,28
8166,6,1.0,3.0,3.0,2,7,5,1,9.0,10.0,0.39,81.0,0,35,1,0,0,0,641,166,39,1,1,170,3,0,1,22
8167,1,1.0,1.0,1.0,1,3,21,16,9.0,9.0,1.41,23.0,0,1,1,0,0,1,1863,126,2,7,0,10,3,2,0,39
8168,6,2.0,1.0,4.0,1,11,23,20,9.0,10.0,1.48,110.0,0,1,1,3,33,0,1668,227,34,1,1,92,3,0,0,24
8169,2,1.0,1.0,1.0,1,0,2,0,10.0,10.0,0.13,40.0,0,1,1,0,0,0,763,126,39,1,4,170,3,2,0,22
8170,2,1.0,1.0,1.0,1,20,35,22,9.0,9.0,2.25,35.0,0,1,0,3,0,0,1264,166,2,14,0,170,3,2,0,41
8171,2,1.0,1.0,1.0,1,17,77,53,9.0,10.0,4.79,60.0,0,1,1,3,0,0,244,229,38,1,1,90,3,0,0,24
8172,2,1.0,1.0,1.0,1,5,83,51,9.0,10.0,5.19,40.0,0,1,1,3,0,0,1722,126,39,2,10,90,3,2,0,20
8173,4,1.0,1.0,4.0,3,12,38,31,10.0,10.0,2.77,80.0,0,1,1,3,0,1,1662,126,37,1,11,55,2,0,35,22
8174,4,2.0,2.0,2.0,2,13,53,26,9.0,10.0,3.31,59.0,0,1,1,3,0,0,1123,166,37,1,1,170,3,0,1,22
8175,4,1.0,1.0,3.0,1,13,186,137,9.0,10.0,11.41,90.0,0,40,1,0,0,0,807,126,32,1,1,28,3,0,0,22
8176,2,1.0,1.0,4.0,1,27,50,39,8.0,9.0,3.09,31.0,0,1,1,0,0,0,830,126,39,7,4,170,3,2,27,32
8177,4,1.0,1.0,3.0,2,18,12,10,10.0,10.0,0.76,90.0,0,1,1,3,9,0,1518,126,6,1,1,34,3,0,8,24
8178,6,2.0,2.0,4.0,3,10,21,16,9.0,10.0,1.35,110.0,0,45,1,0,0,0,881,166,32,1,1,83,3,0,20,24
8179,6,2.0,2.0,2.0,1,8,0,0,10.0,10.0,1.46,500.0,0,1,1,3,0,0,436,125,30,1,1,122,3,0,0,22
8180,1,1.0,1.0,1.0,1,10,2,2,9.0,10.0,0.27,21.0,0,1,0,3,73,0,1123,24,36,7,10,132,3,2,0,22
8181,3,1.0,1.0,1.0,2,2,51,40,10.0,10.0,3.28,60.0,0,1,1,3,73,1,190,311,38,1,1,90,3,0,1,24
8182,2,1.0,1.0,2.0,1,17,25,9,10.0,10.0,1.58,70.0,0,43,0,3,0,1,847,126,30,19,1,33,2,2,1,22
8183,4,1.0,2.0,4.0,3,2,18,5,9.0,10.0,1.15,90.0,0,15,1,0,0,0,701,126,30,1,1,130,1,0,15,24
8184,4,1.0,1.0,2.0,2,8,27,10,10.0,10.0,1.66,90.0,0,9,1,0,0,0,138,236,32,1,8,124,1,0,1,24
8185,4,1.0,1.0,2.0,3,8,45,35,10.0,10.0,2.93,80.0,0,39,1,0,0,1,298,126,39,1,13,115,3,0,1,28
8186,2,1.0,1.0,1.0,1,24,42,22,10.0,9.0,2.69,40.0,0,1,1,0,0,1,60,126,14,7,3,92,3,2,0,55
8187,4,2.0,2.0,3.0,4,0,18,15,10.0,10.0,1.16,90.0,0,1,0,0,0,1,835,126,26,1,4,69,3,0,0,43
8188,10,1.0,3.0,5.0,5,0,1,0,10.0,6.0,0.07,81.0,0,1,1,0,0,0,1213,344,12,14,3,55,3,0,1,57
8189,2,1.0,1.0,1.0,1,23,49,31,10.0,9.0,3.05,40.0,0,1,1,0,0,1,60,126,14,7,3,92,3,2,0,55
8190,4,1.0,1.0,2.0,2,5,44,30,10.0,9.0,2.81,50.0,0,1,0,3,33,1,1300,126,2,1,0,57,3,0,0,47
8191,2,1.0,1.0,2.0,1,13,34,25,10.0,10.0,2.16,45.0,0,1,1,3,0,1,401,126,26,1,4,61,3,2,0,43
8192,2,1.0,1.0,1.0,1,9,26,23,10.0,10.0,1.68,45.0,0,1,1,0,0,1,491,126,36,1,1,170,3,0,20,23
